product_id,category,name,short_description,dimensions,weight_or_quantity,expiry_date,country_of_origin,average_customer_rating_score,standard_price_to_customers,cost_of_products_from_supplier
FP1,bakery,Tart,normal bread,"0.3, 0.4, 0.4",0.5,5,UK,3.6,2,1
FP2,bakery,Croissaint,normal bread,"0.3, 0.4, 0.5",0.5,5,UK,3.6,2.7,1.1
FP3,bakery,Pie,normal bread,"0.3, 0.4, 0.6",0.5,5,UK,3.6,2,1.2
FP4,bakery,Cheese Roll,normal bread,"0.3, 0.4, 0.7",0.5,5,UK,3.6,6.8,1.3
FP5,bakery,Super Delicious Bread,amazing bread,"0.3, 0.4, 0.8",0.5,5,UK,3.6,2,1.4
FP6,drinks,Water,normal drink,"0.2, 0.2, 0.5",1,100,UK,4,3.2,1.5
FP7,drinks,Coke,normal drink,"0.2, 0.2, 0.6",1,100,UK,3.6,2,1.6
FP8,drinks,Beer,normal drink,"0.2, 0.2, 0.7",1,100,UK,3.9,10,1.7
FP9,drinks,Wine,normal drink,"0.2, 0.2, 0.8",1.2,100,France,3.6,2,1.8
FP10,drinks,Whiskey,normal drink,"0.2, 0.2, 0.9",1.2,100,UK,3.6,2,1.9
FP11,fruits_and_vegetables,Apple,fresh apple,"0.3, 0.3, 0.3",0.5,3,UK,2,4,2
FP12,fruits_and_vegetables,Orange,sweet orange,"0.3, 0.3, 0.4",0.5,3,UK,3.6,5,2.1
FP13,fruits_and_vegetables,Mango,good mango,"0.3, 0.3, 0.5",0.5,3,UK,1.3,3,2.2
FP14,fruits_and_vegetables,Lettuce,big lettuce,"0.3, 0.3, 0.6",0.5,3,UK,3.6,2.9,2.3
FP15,fruits_and_vegetables,Cucumber,long cucumber,"0.3, 0.3, 0.7",0.5,3,UK,3.6,2.8,2.4